categoria,nome
Todos os produtos,"ROCADEIRA LAT. KAWASHIMA BCJ 431-L 26MM POT.SUP 0,5KW - 4301048 - Pedido 2026-10941 - KAWASHIMA"
Todos os produtos,5593 C7L6 FI 2CV MONO 11/22 W (NC)* - KING
Todos os produtos,5794 HK6 FI 2CV MONO 11/22 W (NC)## - KING
Todos os produtos,COLA PVC 850G (FRASCO) FIRMEX - FIRMEX
Todos os produtos,"CABO ENXADA 1,45M TORNEADO MUL.C12"
Todos os produtos,FITA ISOLANTE  2MX19MM AUT.F.FOXLUX  C10
Todos os produtos,"DISCO CORTE  4 1/2X1,0INOX STAMACO"
Todos os produtos,ABRACAD P/MANGOTE 54A62MM PROGERC10
Todos os produtos,CORTA GALHO CRAFER
Todos os produtos,ABRACAD P/MANGOTE 73A81MM PROGERC10
Todos os produtos,. CONJUNTO DE IRRIGACAO POR GOTEJAMENTO COMPOSTO
Todos os produtos,TUBO IRRIG. PELBD DN16 PN30 X 100M.
Todos os produtos,"F PLAS AZUD MOD. 100 ROSCA 1"" DISCO 120 MESH CONJUNTO - AZUD"
Todos os produtos,TG. DRIP-TECH 17MM-08MIL-1.6L/H-15CM X 1000M
Todos os produtos,CHULA BILABIAL 17MM
Todos os produtos,REGISTRO UNIAO 16MM. C/ PORCA
Todos os produtos,REGISTRO INICIAL 16MM. C/ PORCAS
Todos os produtos,FINAL DE LINHA DE 16MM C/PORCA
Todos os produtos,UNIAO DE 16MM C / PORCA
Todos os produtos,CONECTOR INICIAL DE 16MM C/PORCA
Todos os produtos,TG. DRIP-TECH 17MM-08MIL-1.6L/H-30CM X 1000M
Todos os produtos,TG. DRIP-TECH 17MM-08MIL-1.6L/H-20CM X 1000M
Todos os produtos,LIXA SECO SERIE OURO GRAO 320
Todos os produtos,FITA ISOLANTE AUTOFUSAO 19MMX2M
Todos os produtos,"ABRACADEIRA RSF 9MM 1"" A 1.1/2"" 25-38"
Todos os produtos,LIXA SECO SERIE OURO GRAO 800
Todos os produtos,ABRACADEIRA BORBOLET 16 A 25MM
Todos os produtos,LIXA SECO SERIE OURO GRAO 400
Todos os produtos,LIXA SECO SERIE OURO GRAO 80
Todos os produtos,MBP 3R3PB-18 180 1 M 60 220 BOMBA CENTRIFUGA MONOFASICA PA RA AGUA
Todos os produtos,MB 3R3PB-13 180 0.75 M2F 60 BOMBA CENTRIFUGA MONOFASICA PA RA AGUA
